pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,laua,ward,hlthau,hro,ctry,gor,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd
AB1 0ET,AB1  0ET,AB1 0ET,198001,199606,0,384991,802660,1,S00090400,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,6,1A2,57.11464,-2.24946,S99999999,S99999999,S23000009,0
AB1 0EU,AB1  0EU,AB1 0EU,198001,199606,0,385546,801467,1,S00090305,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.103941,-2.240226,S99999999,S99999999,S23000009,0
AB1 0EW,AB1  0EW,AB1 0EW,198001,199606,0,385791,801781,1,S00090896,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A1,57.106769,-2.2362,S99999999,S99999999,S23000009,0
AB1 0EX,AB1  0EX,AB1 0EX,198001,199606,0,385413,803443,1,S00090400,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,6,1A2,57.121687,-2.242538,S99999999,S99999999,S23000009,0
AB1 0HA,AB1  0HA,AB1 0HA,198001,199606,0,385651,801327,1,S00090303,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,1C3,57.102686,-2.238485,S99999999,S99999999,S23000009,0
AB1 0HB,AB1  0HB,AB1 0HB,198001,199606,0,385826,801336,1,S00090303,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,1C3,57.102773,-2.235597,S99999999,S99999999,S23000009,0
AB1 0HD,AB1  0HD,AB1 0HD,198001,199606,0,385941,801443,1,S00090303,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,1C3,57.103737,-2.233705,S99999999,S99999999,S23000009,0
AB1 0HJ,AB1  0HJ,AB1 0HJ,198001,199606,0,385924,801562,1,S00090311,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,6B2,57.104806,-2.233992,S99999999,S99999999,S23000009,0
AB1 0HL,AB1  0HL,AB1 0HL,198001,199606,0,386255,801738,1,S00090304,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006516,S02001237,S99999999,S03000012,S99999999,S99999999,3,6B4,57.106397,-2.228538,S99999999,S99999999,S23000009,0
AB1 0HN,AB1  0HN,AB1 0HN,198001,199606,0,386452,801865,1,S00090314,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,5B2,57.107544,-2.225293,S99999999,S99999999,S23000009,0
AB1 0HP,AB1  0HP,AB1 0HP,198001,199606,0,386186,801932,1,S00090314,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,5B2,57.108138,-2.229688,S99999999,S99999999,S23000009,0
AB1 0HQ,AB1  0HQ,AB1 0HQ,198001,199606,0,386473,802138,1,S00090314,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,5B2,57.109997,-2.224961,S99999999,S99999999,S23000009,0
AB1 0HR,AB1  0HR,AB1 0HR,198001,199606,1,386465,801931,1,S00090314,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,5B2,57.108137,-2.225082,S99999999,S99999999,S23000009,0
AB1 0HS,AB1  0HS,AB1 0HS,198001,199606,0,386647,802432,1,S00090394,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006516,S02001237,S99999999,S03000012,S99999999,S99999999,6,6A3,57.112643,-2.222104,S99999999,S99999999,S23000009,0
AB1 0HT,AB1  0HT,AB1 0HT,198001,199606,0,386820,801800,8,S00090395,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006516,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.106971,-2.219214,S99999999,S99999999,S23000009,0
AB1 0HU,AB1  0HU,AB1 0HU,198001,199606,0,385966,801877,1,S00090312,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,6B4,57.107637,-2.233317,S99999999,S99999999,S23000009,0
AB1 0HX,AB1  0HX,AB1 0HX,198001,199606,0,386859,802419,1,S00090394,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006516,S02001237,S99999999,S03000012,S99999999,S99999999,6,6A3,57.112532,-2.218603,S99999999,S99999999,S23000009,0
AB1 0JA,AB1  0JA,AB1 0JA,198001,199606,0,386281,801996,1,S00090313,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A4,57.108715,-2.228123,S99999999,S99999999,S23000009,0
AB1 0JB,AB1  0JB,AB1 0JB,198001,199606,0,386022,801990,1,S00090313,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A4,57.108654,-2.232398,S99999999,S99999999,S23000009,0
AB1 0JD,AB1  0JD,AB1 0JD,198001,199606,0,386013,802104,1,S00090308,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A4,57.109677,-2.232553,S99999999,S99999999,S23000009,0
AB1 0JE,AB1  0JE,AB1 0JE,198001,199606,0,385750,802016,1,S00090307,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A1,57.108879,-2.23689,S99999999,S99999999,S23000009,0
AB1 0JG,AB1  0JG,AB1 0JG,199006,199606,0,385739,802233,1,S00090309,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.110828,-2.237084,S99999999,S99999999,S23000009,0
AB1 0JH,AB1  0JH,AB1 0JH,198001,199606,0,386069,802238,1,S00090308,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A4,57.110883,-2.231636,S99999999,S99999999,S23000009,0
AB1 0JJ,AB1  0JJ,AB1 0JJ,198001,199606,0,386071,802185,1,S00090308,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A4,57.110407,-2.2316,S99999999,S99999999,S23000009,0
AB1 0JL,AB1  0JL,AB1 0JL,198001,199606,0,385750,802464,1,S00090400,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,6,1A2,57.112903,-2.236916,S99999999,S99999999,S23000009,0
AB1 0JN,AB1  0JN,AB1 0JN,198001,199607,0,385320,802220,8,S00090400,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,6,1A2,57.110698,-2.244001,S99999999,S99999999,S23000009,0
AB1 0JP,AB1  0JP,AB1 0JP,198001,199606,0,386595,801770,1,S00090382,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006516,S02001237,S99999999,S03000012,S99999999,S99999999,3,1A3,57.106695,-2.222927,S99999999,S99999999,S23000009,0
AB1 0JQ,AB1  0JQ,AB1 0JQ,198001,199606,0,386803,801652,1,S00090395,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006516,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.105641,-2.219487,S99999999,S99999999,S23000009,0
AB1 0JR,AB1  0JR,AB1 0JR,198001,199606,0,386774,801585,1,S00090395,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006516,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.105038,-2.219962,S99999999,S99999999,S23000009,0
AB1 0JS,AB1  0JS,AB1 0JS,198001,199606,0,386584,801718,1,S00090382,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006516,S02001237,S99999999,S03000012,S99999999,S99999999,3,1A3,57.106227,-2.223106,S99999999,S99999999,S23000009,0
AB1 0JT,AB1  0JT,AB1 0JT,198511,199606,0,385866,802226,1,S00090307,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A1,57.110769,-2.234987,S99999999,S99999999,S23000009,0
AB1 0JU,AB1  0JU,AB1 0JU,198511,199606,0,385921,802363,1,S00090307,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A1,57.112001,-2.234087,S99999999,S99999999,S23000009,0
AB1 0JW,AB1  0JW,AB1 0JW,198511,199606,0,385836,802294,1,S00090307,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A1,57.111379,-2.235486,S99999999,S99999999,S23000009,0
AB1 0JX,AB1  0JX,AB1 0JX,199009,199606,0,385822,802264,1,S00090309,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.111109,-2.235716,S99999999,S99999999,S23000009,0
AB1 0JY,AB1  0JY,AB1 0JY,199006,199606,0,385608,802163,1,S00090309,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.110195,-2.239243,S99999999,S99999999,S23000009,0
AB1 0JZ,AB1  0JZ,AB1 0JZ,199006,199606,0,385717,802212,1,S00090309,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.110638,-2.237446,S99999999,S99999999,S23000009,0
AB1 0LA,AB1  0LA,AB1 0LA,198001,199606,0,383616,801140,1,S00090290,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006508,S02001236,S99999999,S03000012,S99999999,S99999999,3,7A1,57.100938,-2.272063,S99999999,S99999999,S23000009,0
AB1 0LB,AB1  0LB,AB1 0LB,198001,199606,0,383539,801232,1,S00090288,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006507,S02001236,S99999999,S03000012,S99999999,S99999999,3,7C1,57.101762,-2.27334,S99999999,S99999999,S23000009,0
AB1 0LD,AB1  0LD,AB1 0LD,198001,199606,0,383624,801298,1,S00090891,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006507,S02001236,S99999999,S03000012,S99999999,S99999999,3,8C3,57.102358,-2.271941,S99999999,S99999999,S23000009,0
AB1 0LE,AB1  0LE,AB1 0LE,199201,199606,0,383543,800383,1,S00090888,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006506,S02001236,S99999999,S03000012,S99999999,S99999999,3,7A2,57.094135,-2.273218,S99999999,S99999999,S23000009,0
AB1 0LJ,AB1  0LJ,AB1 0LJ,198001,199606,0,384141,800394,1,S00088963,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006506,S02001236,S99999999,S03000012,S99999999,S99999999,6,1A2,57.094255,-2.26335,S99999999,S99999999,S23000009,0
AB1 0LL,AB1  0LL,AB1 0LL,198001,199606,0,383814,800304,1,S00088963,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006506,S02001236,S99999999,S03000012,S99999999,S99999999,6,1A2,57.093435,-2.26874,S99999999,S99999999,S23000009,0
AB1 0LN,AB1  0LN,AB1 0LN,198001,199606,0,383823,799730,1,S00088963,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006506,S02001236,S99999999,S03000012,S99999999,S99999999,6,1A2,57.08828,-2.268555,S99999999,S99999999,S23000009,0
AB1 0LP,AB1  0LP,AB1 0LP,198001,199606,0,383750,800340,8,S00088964,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006506,S02001236,S99999999,S03000012,S99999999,S99999999,3,6A4,57.093757,-2.269799,S99999999,S99999999,S23000009,0
AB1 0LQ,AB1  0LQ,AB1 0LQ,198001,199606,0,383530,800385,3,S00090888,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006506,S02001236,S99999999,S03000012,S99999999,S99999999,3,7A2,57.094153,-2.273432,S99999999,S99999999,S23000009,0
AB1 0LR,AB1  0LR,AB1 0LR,198001,199606,0,383583,800488,1,S00090888,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006506,S02001236,S99999999,S03000012,S99999999,S99999999,3,7A2,57.09508,-2.272565,S99999999,S99999999,S23000009,0
AB1 0LS,AB1  0LS,AB1 0LS,198001,199606,0,383429,800365,1,S00088963,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006506,S02001236,S99999999,S03000012,S99999999,S99999999,6,1A2,57.09397,-2.275098,S99999999,S99999999,S23000009,0
AB1 0LT,AB1  0LT,AB1 0LT,198001,199606,0,382324,799779,1,S00091391,S99999999,S12000034,S13002506,S08000020,S99999999,S92000003,S99999999,S14000058,S15000001,S09000001,S22000047,S03000013,S31001005,S99999999,S01006857,S02001296,S99999999,S03000013,S99999999,S99999999,6,1A2,57.088664,-2.293291,S99999999,S99999999,S23000009,0
AB1 0LX,AB1  0LX,AB1 0LX,198001,199606,0,383588,800702,1,S00090919,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006508,S02001236,S99999999,S03000012,S99999999,S99999999,3,7C1,57.097003,-2.272496,S99999999,S99999999,S23000009,0
AB1 0NA,AB1  0NA,AB1 0NA,198001,199606,0,383512,800889,1,S00090385,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006508,S02001236,S99999999,S03000012,S99999999,S99999999,3,5B3,57.09868,-2.273763,S99999999,S99999999,S23000009,0
AB1 0NB,AB1  0NB,AB1 0NB,198001,199606,0,382818,801303,1,S00091391,S99999999,S12000034,S13002506,S08000020,S99999999,S92000003,S99999999,S14000058,S15000001,S09000001,S22000047,S03000013,S31001005,S99999999,S01006857,S02001296,S99999999,S03000013,S99999999,S99999999,6,1A2,57.102373,-2.285246,S99999999,S99999999,S23000009,0
AB1 0ND,AB1  0ND,AB1 0ND,198001,199606,0,382257,801366,1,S00091391,S99999999,S12000034,S13002506,S08000020,S99999999,S92000003,S99999999,S14000058,S15000001,S09000001,S22000047,S03000013,S31001005,S99999999,S01006857,S02001296,S99999999,S03000013,S99999999,S99999999,6,1A2,57.102918,-2.29451,S99999999,S99999999,S23000009,0
AB1 0NE,AB1  0NE,AB1 0NE,198001,199606,0,384443,801205,1,S00090381,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,6B3,57.101551,-2.258417,S99999999,S99999999,S23000009,0
AB1 0NJ,AB1  0NJ,AB1 0NJ,198001,199606,0,382494,801425,1,S00090510,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006512,S02001236,S99999999,S03000012,S99999999,S99999999,6,6A2,57.103457,-2.290602,S99999999,S99999999,S23000009,0
AB1 0NL,AB1  0NL,AB1 0NL,198001,199606,0,383174,801616,1,S00090510,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006512,S02001236,S99999999,S03000012,S99999999,S99999999,6,6A2,57.105198,-2.279391,S99999999,S99999999,S23000009,0
AB1 0NN,AB1  0NN,AB1 0NN,198001,199606,0,383320,801500,8,S00090916,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006507,S02001236,S99999999,S03000012,S99999999,S99999999,3,6A4,57.104161,-2.276973,S99999999,S99999999,S23000009,0
AB1 0NP,AB1  0NP,AB1 0NP,198001,199606,0,383704,801567,1,S00090890,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006512,S02001236,S99999999,S03000012,S99999999,S99999999,3,1A2,57.104777,-2.270638,S99999999,S99999999,S23000009,0
